block,config,seed,acq_prob,fit_before,fit_after,delta,v_mean,v_std,active_frac_end,cross_e_frac_end,wall_sec
acq_probability,acq_prob_1e-05,0,1e-05,-0.0002585904148872942,-0.0002197853464167565,3.880506847053766e-05,0.8383989334106445,0.3552807569503784,0.986572265625,0.4083251953125,4.601944225025363
acq_probability,acq_prob_1e-05,1,1e-05,-0.0002678088203538209,-0.00022561789955943823,4.219092079438269e-05,0.8556294441223145,0.3490626811981201,0.9876708984375,0.401123046875,4.5072645599721
acq_probability,acq_prob_1e-05,2,1e-05,-0.0002715807349886745,-0.00022654923668596894,4.5031498302705586e-05,0.8434845209121704,0.3513617515563965,0.986328125,0.395263671875,4.510889536992181
acq_probability,acq_prob_1e-05,3,1e-05,-0.0002791685692500323,-0.00023930042516440153,3.9868144085630774e-05,0.8595805168151855,0.33963197469711304,0.9896240234375,0.396728515625,4.535606734047178
acq_probability,acq_prob_1e-05,4,1e-05,-0.00026649280334822834,-0.00022227356384973973,4.4219239498488605e-05,0.8337991237640381,0.35800257325172424,0.981201171875,0.4072265625,4.636615213996265
acq_probability,acq_prob_3e-05,0,3e-05,-0.0002585904148872942,-0.0002176921407226473,4.0898274164646864e-05,0.8448644280433655,0.3523150086402893,0.98779296875,0.408447265625,4.49946695700055
acq_probability,acq_prob_3e-05,1,3e-05,-0.0002678088203538209,-0.0002240891772089526,4.3719643144868314e-05,0.8564537763595581,0.34980297088623047,0.9891357421875,0.4007568359375,4.460138592985459
acq_probability,acq_prob_3e-05,2,3e-05,-0.0002715807349886745,-0.0002286482194904238,4.293251549825072e-05,0.8390032052993774,0.35444262623786926,0.986083984375,0.394287109375,4.462844221969135
acq_probability,acq_prob_3e-05,3,3e-05,-0.0002791685692500323,-0.00024041930737439543,3.8749261875636876e-05,0.8584069013595581,0.3404121398925781,0.9915771484375,0.3961181640625,4.4567334949970245
acq_probability,acq_prob_3e-05,4,3e-05,-0.00026649280334822834,-0.0002218271984020248,4.466560494620353e-05,0.8404113054275513,0.3542758524417877,0.9847412109375,0.40673828125,4.455914736958221
acq_probability,acq_prob_1e-04,0,0.0001,-0.0002585904148872942,-0.00021840761473868042,4.018280014861375e-05,0.8455545902252197,0.35064125061035156,0.991943359375,0.408203125,4.462534238991793
acq_probability,acq_prob_1e-04,1,0.0001,-0.0002678088203538209,-0.00022652656480204314,4.128225555177778e-05,0.8577717542648315,0.3417667746543884,0.994384765625,0.400146484375,4.45366370404372
acq_probability,acq_prob_1e-04,2,0.0001,-0.0002715807349886745,-0.0002270967816002667,4.4483953388407826e-05,0.8393344879150391,0.35331588983535767,0.9910888671875,0.3944091796875,4.448457719990984
acq_probability,acq_prob_1e-04,3,0.0001,-0.0002791685692500323,-0.00023811987193766981,4.104869731236249e-05,0.858374834060669,0.3392413556575775,0.9945068359375,0.3958740234375,4.578129621979315
acq_probability,acq_prob_1e-04,4,0.0001,-0.00026649280334822834,-0.00022137809719424695,4.511470615398139e-05,0.840238630771637,0.3529956638813019,0.9908447265625,0.40478515625,4.512105258996598
acq_probability,acq_prob_3e-04,0,0.0003,-0.0002585904148872942,-0.00022328970953822136,3.5300705349072814e-05,0.8390507698059082,0.34878432750701904,0.9970703125,0.40576171875,4.468197597947437
acq_probability,acq_prob_3e-04,1,0.0003,-0.0002678088203538209,-0.00022882748453412205,3.898133581969887e-05,0.8575390577316284,0.33898600935935974,0.9984130859375,0.3975830078125,4.486261882004328
acq_probability,acq_prob_3e-04,2,0.0003,-0.0002715807349886745,-0.0002261782792629674,4.5402455725707114e-05,0.8381625413894653,0.3505122661590576,0.9971923828125,0.3919677734375,4.484047189005651
acq_probability,acq_prob_3e-04,3,0.0003,-0.0002791685692500323,-0.00023766759841237217,4.1500970837660134e-05,0.8638800978660583,0.3360387980937958,0.9989013671875,0.3941650390625,4.469308421015739
acq_probability,acq_prob_3e-04,4,0.0003,-0.00026649280334822834,-0.00022220733808353543,4.42854652646929e-05,0.8404293656349182,0.3525422513484955,0.99755859375,0.403564453125,4.493745968036819
acq_probability,acq_prob_1e-03,0,0.001,-0.0002585904148872942,-0.00022333129891194403,3.525911597535014e-05,0.8517254590988159,0.3401521146297455,1.0,0.4063720703125,4.493518428993411
acq_probability,acq_prob_1e-03,1,0.001,-0.0002678088203538209,-0.00022457873274106532,4.32300876127556e-05,0.8533879518508911,0.3462136685848236,1.0,0.3975830078125,4.504532999009825
acq_probability,acq_prob_1e-03,2,0.001,-0.0002715807349886745,-0.00022715513478033245,4.4425600208342075e-05,0.8442332744598389,0.345983624458313,0.9998779296875,0.391845703125,4.531445545027964
acq_probability,acq_prob_1e-03,3,0.001,-0.0002791685692500323,-0.0002389630681136623,4.020550113637e-05,0.8692076206207275,0.3315316140651703,1.0,0.3946533203125,4.53218342596665
acq_probability,acq_prob_1e-03,4,0.001,-0.00026649280334822834,-0.00022089510457590222,4.559769877232611e-05,0.840356171131134,0.35430431365966797,0.9998779296875,0.4033203125,4.486498500977177
acq_probability,acq_prob_3e-03,0,0.003,-0.0002585904148872942,-0.00022370218357536942,3.4888231311924756e-05,0.8438297510147095,0.3472658097743988,1.0,0.4058837890625,4.493296144995838
acq_probability,acq_prob_3e-03,1,0.003,-0.0002678088203538209,-0.0002283111389260739,3.949768142774701e-05,0.8516144752502441,0.3490540385246277,1.0,0.39697265625,4.524288574990351
acq_probability,acq_prob_3e-03,2,0.003,-0.0002715807349886745,-0.00022859376622363925,4.298696876503527e-05,0.8451718091964722,0.3442442715167999,1.0,0.3927001953125,4.503268777043559
acq_probability,acq_prob_3e-03,3,0.003,-0.0002791685692500323,-0.0002355809701839462,4.3587599066086113e-05,0.859646201133728,0.33721521496772766,1.0,0.394287109375,4.501538997981697
acq_probability,acq_prob_3e-03,4,0.003,-0.00026649280334822834,-0.00022231042385101318,4.418237949721515e-05,0.8383848667144775,0.3549289405345917,1.0,0.4014892578125,4.543510877992958
acq_probability,acq_prob_1e-02,0,0.01,-0.0002585904148872942,-0.00022205935965757817,3.6531055229716e-05,0.8468854427337646,0.3468087613582611,1.0,0.406005859375,4.473314935981762
acq_probability,acq_prob_1e-02,1,0.01,-0.0002678088203538209,-0.00022705196170136333,4.0756858652457595e-05,0.8535968065261841,0.3416709899902344,1.0,0.39794921875,4.633065586036537
acq_probability,acq_prob_1e-02,2,0.01,-0.0002715807349886745,-0.00022422002803068608,4.736070695798844e-05,0.8418089151382446,0.3504502475261688,1.0,0.3922119140625,4.488287121988833
acq_probability,acq_prob_1e-02,3,0.01,-0.0002791685692500323,-0.00023628288181498647,4.288568743504584e-05,0.8655780553817749,0.33232608437538147,1.0,0.39453125,4.474383482011035
acq_probability,acq_prob_1e-02,4,0.01,-0.00026649280334822834,-0.00022393006656784564,4.256273678038269e-05,0.8412358164787292,0.3502982556819916,1.0,0.404541015625,4.461205689993221
acq_probability,acq_prob_3e-02,0,0.03,-0.0002585904148872942,-0.00022272623027674854,3.5864184610545635e-05,0.8510540723800659,0.34073448181152344,1.0,0.40625,4.490483739005867
acq_probability,acq_prob_3e-02,1,0.03,-0.0002678088203538209,-0.0002248294767923653,4.297934356145561e-05,0.8552465438842773,0.3421476185321808,1.0,0.39697265625,4.47057029401185
acq_probability,acq_prob_3e-02,2,0.03,-0.0002715807349886745,-0.00022756656107958406,4.401417390909046e-05,0.844447135925293,0.34514912962913513,1.0,0.391845703125,4.495700410974678
acq_probability,acq_prob_3e-02,3,0.03,-0.0002791685692500323,-0.0002368761197431013,4.229244950693101e-05,0.8623656630516052,0.3349939286708832,1.0,0.3958740234375,4.520541589008644
acq_probability,acq_prob_3e-02,4,0.03,-0.00026649280334822834,-0.00022285434533841908,4.3638458009809256e-05,0.8366414308547974,0.35373979806900024,1.0,0.40234375,4.47246029402595
acq_probability,acq_prob_1e-01,0,0.1,-0.0002585904148872942,-0.00022740526765119284,3.118514723610133e-05,0.8478720188140869,0.3434281349182129,1.0,0.406005859375,4.622505581995938
acq_probability,acq_prob_1e-01,1,0.1,-0.0002678088203538209,-0.00022576756600756198,4.204125434625894e-05,0.8606618642807007,0.3410165011882782,1.0,0.3978271484375,4.473892014008015
acq_probability,acq_prob_1e-01,2,0.1,-0.0002715807349886745,-0.00022704362345393747,4.453711153473705e-05,0.8474721908569336,0.3467353284358978,1.0,0.3917236328125,4.493764045997523
acq_probability,acq_prob_1e-01,3,0.1,-0.0002791685692500323,-0.00023568417236674577,4.3484396883286536e-05,0.8667579889297485,0.33073800802230835,1.0,0.395751953125,4.472187171981204
acq_probability,acq_prob_1e-01,4,0.1,-0.00026649280334822834,-0.00022162239474710077,4.4870408601127565e-05,0.8461217880249023,0.3482654392719269,1.0,0.4041748046875,4.527476898045279
