block,config,seed,fit_before,fit_after,delta,v_mean,active_frac_end,cross_e_frac_end,wall_sec
best_config_confirm,confirm_baseline_stdp_only,0,-0.0002585904148872942,-0.00022142042871564627,3.7169986171647906e-05,0.8480982184410095,1.0,0.4088134765625,2.5125525619951077
best_config_confirm,confirm_baseline_stdp_only,1,-0.0002678088203538209,-0.0002249852113891393,4.2823608964681625e-05,0.8566418886184692,1.0,0.401123046875,2.5354671999812126
best_config_confirm,confirm_baseline_stdp_only,2,-0.0002715807349886745,-0.00022628837905358523,4.529235593508929e-05,0.8403961658477783,1.0,0.3956298828125,2.5455727680237032
best_config_confirm,confirm_baseline_stdp_only,3,-0.0002791685692500323,-0.00023673599935136735,4.243256989866495e-05,0.8589075207710266,1.0,0.396728515625,2.606241680972744
best_config_confirm,confirm_baseline_stdp_only,4,-0.00026649280334822834,-0.00022329708735924214,4.3195715988986194e-05,0.8369919061660767,1.0,0.4075927734375,2.544233087974135
best_config_confirm,confirm_baseline_stdp_only,5,-0.00027622285415418446,-0.00022974480816628784,4.647804598789662e-05,0.84186851978302,1.0,0.40185546875,2.674967013997957
best_config_confirm,confirm_baseline_stdp_only,6,-0.0002665017091203481,-0.0002278111787745729,3.869053034577519e-05,0.8505451679229736,1.0,0.399169921875,2.512731199967675
best_config_confirm,confirm_baseline_stdp_only,7,-0.00025941283092834055,-0.00021635231678374112,4.306051414459944e-05,0.8456908464431763,1.0,0.3970947265625,2.531937131017912
best_config_confirm,confirm_baseline_stdp_only,8,-0.00026223217719234526,-0.00022285313752945513,3.9379039662890136e-05,0.8495556116104126,1.0,0.404541015625,2.551323280960787
best_config_confirm,confirm_baseline_stdp_only,9,-0.00026219317805953324,-0.00022102602815721184,4.11671499023214e-05,0.84572434425354,1.0,0.4058837890625,2.5545546170324087
best_config_confirm,confirm_baseline_stdp_only,10,-0.0002691989648155868,-0.00022038932365830988,4.880964115727693e-05,0.8483753800392151,1.0,0.3985595703125,2.5160492139984854
best_config_confirm,confirm_baseline_stdp_only,11,-0.00026426458498463035,-0.00022497227473650128,3.929231024812907e-05,0.8375359773635864,1.0,0.4010009765625,2.5192839560331777
best_config_confirm,confirm_baseline_stdp_only,12,-0.0002644306805450469,-0.00022490977426059544,3.9520906284451485e-05,0.8494408130645752,1.0,0.39794921875,2.518080265028402
best_config_confirm,confirm_baseline_stdp_only,13,-0.0002580232103355229,-0.00022233385243453085,3.5689357900992036e-05,0.8477741479873657,1.0,0.411865234375,2.5565992330084555
best_config_confirm,confirm_baseline_stdp_only,14,-0.00026159570552408695,-0.0002255641302326694,3.603157529141754e-05,0.8615261912345886,1.0,0.4049072265625,2.536912920011673
best_config_confirm,confirm_baseline_stdp_only,15,-0.00027670228155329823,-0.00022872770205140114,4.79745795018971e-05,0.8552619218826294,1.0,0.3956298828125,2.604182012961246
best_config_confirm,confirm_baseline_stdp_only,16,-0.00026537387748248875,-0.0002198954316554591,4.5478445827029645e-05,0.8460572361946106,1.0,0.40087890625,2.5551415989757515
best_config_confirm,confirm_baseline_stdp_only,17,-0.00024910378851927817,-0.00021275541803333908,3.6348370485939085e-05,0.8462035655975342,1.0,0.4024658203125,2.6089846810209565
best_config_confirm,confirm_baseline_stdp_only,18,-0.00025129641289822757,-0.0002186019701184705,3.269444277975708e-05,0.8490262031555176,1.0,0.400634765625,2.777678174956236
best_config_confirm,confirm_baseline_stdp_only,19,-0.0002593408862594515,-0.00021705288963858038,4.228799662087113e-05,0.8450828194618225,1.0,0.4013671875,2.578351318021305
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,0,-0.0002585904148872942,-0.00022333129891194403,3.525911597535014e-05,0.8517254590988159,1.0,0.4063720703125,4.647807751025539
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,1,-0.0002678088203538209,-0.00022457873274106532,4.32300876127556e-05,0.8533879518508911,1.0,0.3975830078125,4.636180704983417
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,2,-0.0002715807349886745,-0.00022715513478033245,4.4425600208342075e-05,0.8442332744598389,0.9998779296875,0.391845703125,4.710895968019031
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,3,-0.0002791685692500323,-0.0002389630681136623,4.020550113637e-05,0.8692076206207275,1.0,0.3946533203125,4.885758430988062
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,4,-0.00026649280334822834,-0.00022089510457590222,4.559769877232611e-05,0.840356171131134,0.9998779296875,0.4033203125,4.707939549000002
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,5,-0.00027622285415418446,-0.00022759009152650833,4.863276262767613e-05,0.8507198095321655,1.0,0.3978271484375,4.71412561100442
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,6,-0.0002665017091203481,-0.00022681214613839984,3.9689562981948256e-05,0.8565904498100281,1.0,0.3970947265625,4.736283213016577
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,7,-0.00025941283092834055,-0.00022120132052805275,3.821151040028781e-05,0.8409236669540405,0.9998779296875,0.3909912109375,4.877482398995198
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,8,-0.00026223217719234526,-0.00022466845985036343,3.756371734198183e-05,0.8493356704711914,1.0,0.4005126953125,4.78799797402462
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,9,-0.00026219317805953324,-0.0002228083903901279,3.938478766940534e-05,0.8425279855728149,0.9998779296875,0.400634765625,4.746629511995707
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,10,-0.0002691989648155868,-0.00022064661607146263,4.8552348744124174e-05,0.8512260913848877,1.0,0.395751953125,4.769595393969212
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,11,-0.00026426458498463035,-0.00022401857131626457,4.0246013668365777e-05,0.8439723253250122,1.0,0.397216796875,4.764696676982567
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,12,-0.0002644306805450469,-0.00022848017397336662,3.595050657168031e-05,0.8501607179641724,1.0,0.3963623046875,4.914539146004245
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,13,-0.0002580232103355229,-0.00021806484437547624,3.995836596004665e-05,0.8406937122344971,0.9998779296875,0.4085693359375,4.895057176006958
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,14,-0.00026159570552408695,-0.00022160017397254705,3.99955315515399e-05,0.8565057516098022,1.0,0.4029541015625,4.699992888025008
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,15,-0.00027670228155329823,-0.00022593246831092983,5.07698132423684e-05,0.8555629253387451,0.9998779296875,0.39208984375,4.885875667969231
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,16,-0.00026537387748248875,-0.00021738462965004146,4.798924783244729e-05,0.8526511192321777,1.0,0.398193359375,4.749571264022961
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,17,-0.00024910378851927817,-0.0002123492449754849,3.675454354379326e-05,0.8399271368980408,0.9998779296875,0.396240234375,4.77444565697806
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,18,-0.00025129641289822757,-0.0002169954386772588,3.430097422096878e-05,0.8523655533790588,1.0,0.3984375,5.00395047100028
best_config_confirm,confirm_stochastic_uniform_iv0.2_thr0.05_dur500,19,-0.0002593408862594515,-0.00021396344527602196,4.537744098342955e-05,0.8480178117752075,1.0,0.397216796875,4.7080602970090695
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,0,-0.0002585904148872942,-0.0002226221258752048,3.596828901208937e-05,0.8477702736854553,0.9998779296875,0.4071044921875,5.460411799023859
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,1,-0.0002678088203538209,-0.00022548851848114282,4.23203018726781e-05,0.8534066081047058,0.9998779296875,0.3984375,5.487803380005062
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,2,-0.0002715807349886745,-0.00022607877326663584,4.5501961722038686e-05,0.8442413806915283,1.0,0.3909912109375,5.538343994994648
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,3,-0.0002791685692500323,-0.00023548620811197907,4.368236113805324e-05,0.868546187877655,1.0,0.3953857421875,5.6492872149683535
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,4,-0.00026649280334822834,-0.00022276584059000015,4.372696275822818e-05,0.8413082957267761,1.0,0.406005859375,5.4502634889795445
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,5,-0.00027622285415418446,-0.00022548246488440782,5.074038926977664e-05,0.8514605760574341,1.0,0.3997802734375,5.479649601969868
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,6,-0.0002665017091203481,-0.00022712688951287419,3.937481960747391e-05,0.8559810519218445,1.0,0.397216796875,5.7874223359976895
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,7,-0.00025941283092834055,-0.00021664146333932877,4.277136758901179e-05,0.8429598808288574,1.0,0.3944091796875,5.77033335500164
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,8,-0.00026223217719234526,-0.00022453400015365332,3.769817703869194e-05,0.8526390790939331,1.0,0.402587890625,5.521889414987527
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,9,-0.00026219317805953324,-0.00022038939641788602,4.180378164164722e-05,0.8464869856834412,1.0,0.4036865234375,5.501811459020246
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,10,-0.0002691989648155868,-0.00022369292855728418,4.550603625830263e-05,0.8515577912330627,0.9998779296875,0.3968505859375,5.498430324019864
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,11,-0.00026426458498463035,-0.00022598753275815398,3.827705222647637e-05,0.8454533815383911,1.0,0.3983154296875,5.620058476983104
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,12,-0.0002644306805450469,-0.00022487259411718696,3.955808642785996e-05,0.8527439832687378,1.0,0.3966064453125,5.457497255993076
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,13,-0.0002580232103355229,-0.00021834885410498828,3.967435623053461e-05,0.8412687182426453,1.0,0.4095458984375,5.479537807987072
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,14,-0.00026159570552408695,-0.00022413143597077578,3.746426955331117e-05,0.8558977246284485,0.9998779296875,0.403076171875,5.465803764993325
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,15,-0.00027670228155329823,-0.00022795438417233527,4.874789738096297e-05,0.8550688028335571,1.0,0.3936767578125,5.572548241994809
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,16,-0.00026537387748248875,-0.000217113847611472,4.826002987101674e-05,0.8488783240318298,1.0,0.3973388671875,5.476915751001798
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,17,-0.00024910378851927817,-0.0002098602126352489,3.924357588402927e-05,0.8461527228355408,0.99951171875,0.39697265625,5.660458995960653
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,18,-0.00025129641289822757,-0.00021844246657565236,3.285394632257521e-05,0.8481841683387756,1.0,0.3985595703125,5.454234384000301
best_config_confirm,confirm_stochastic_hebbian_iv0.2_thr0.05_dur500,19,-0.0002593408862594515,-0.00022154103498905897,3.779985127039254e-05,0.8564575910568237,1.0,0.3997802734375,5.554157243983354
